ts_utc_seconds,funding_rate_per_8h,source
1474027200,-7.7e-05,bitmex_XBTUSD
1474056000,-4.9e-05,bitmex_XBTUSD
1474084800,-1.1e-05,bitmex_XBTUSD
1474113600,-7e-06,bitmex_XBTUSD
1474142400,-6e-06,bitmex_XBTUSD
1474171200,-0.000141,bitmex_XBTUSD
1474200000,-4e-06,bitmex_XBTUSD
1474228800,-1e-06,bitmex_XBTUSD
1474257600,-1e-06,bitmex_XBTUSD
1474286400,3e-05,bitmex_XBTUSD
1474315200,0.000823,bitmex_XBTUSD
1474344000,0.000313,bitmex_XBTUSD
1474372800,-0.00073,bitmex_XBTUSD
1474401600,0.000276,bitmex_XBTUSD
1474430400,5.9e-05,bitmex_XBTUSD
1474459200,-0.000759,bitmex_XBTUSD
1474488000,-0.000622,bitmex_XBTUSD
1474516800,-0.00098,bitmex_XBTUSD
1474545600,-0.001097,bitmex_XBTUSD
1474574400,-0.000694,bitmex_XBTUSD
1474603200,-0.000528,bitmex_XBTUSD
1474632000,-0.000456,bitmex_XBTUSD
1474660800,0.000334,bitmex_XBTUSD
1474689600,0.001492,bitmex_XBTUSD
1474718400,9e-05,bitmex_XBTUSD
1474747200,0.000116,bitmex_XBTUSD
1474776000,9.3e-05,bitmex_XBTUSD
1474804800,9.2e-05,bitmex_XBTUSD
1474833600,9.1e-05,bitmex_XBTUSD
1474862400,9.1e-05,bitmex_XBTUSD
1474891200,0.000184,bitmex_XBTUSD
1474920000,0.000667,bitmex_XBTUSD
1474948800,0.000965,bitmex_XBTUSD
1474977600,0.00111,bitmex_XBTUSD
1475006400,0.001394,bitmex_XBTUSD
1475035200,0.001255,bitmex_XBTUSD
1475064000,0.00031,bitmex_XBTUSD
1475092800,8.3e-05,bitmex_XBTUSD
1475121600,8.6e-05,bitmex_XBTUSD
1475150400,8.6e-05,bitmex_XBTUSD
1475179200,0.00043,bitmex_XBTUSD
1475208000,0.000384,bitmex_XBTUSD
1475236800,0.000319,bitmex_XBTUSD
1475265600,0.000677,bitmex_XBTUSD
1475294400,9e-05,bitmex_XBTUSD
1475323200,0.001461,bitmex_XBTUSD
1475352000,0.002602,bitmex_XBTUSD
1475380800,0.002425,bitmex_XBTUSD
1475409600,0.000687,bitmex_XBTUSD
1475438400,8.8e-05,bitmex_XBTUSD
1475467200,-0.000868,bitmex_XBTUSD
1475496000,8.4e-05,bitmex_XBTUSD
1475524800,0.000456,bitmex_XBTUSD
1475553600,0.00023,bitmex_XBTUSD
1475582400,8.1e-05,bitmex_XBTUSD
1475611200,7.9e-05,bitmex_XBTUSD
1475640000,7.8e-05,bitmex_XBTUSD
1475668800,7.8e-05,bitmex_XBTUSD
1475697600,0.000537,bitmex_XBTUSD
1475726400,0.00036,bitmex_XBTUSD
1475755200,7.6e-05,bitmex_XBTUSD
1475784000,7.3e-05,bitmex_XBTUSD
1475812800,7.3e-05,bitmex_XBTUSD
1475841600,6.8e-05,bitmex_XBTUSD
1475870400,0.000778,bitmex_XBTUSD
1475899200,6.5e-05,bitmex_XBTUSD
1475928000,6e-05,bitmex_XBTUSD
1475956800,0.000668,bitmex_XBTUSD
1475985600,0.000442,bitmex_XBTUSD
1476014400,0.000429,bitmex_XBTUSD
1476043200,6e-05,bitmex_XBTUSD
1476072000,6.6e-05,bitmex_XBTUSD
1476100800,0.000628,bitmex_XBTUSD
1476129600,0.002495,bitmex_XBTUSD
1476158400,0.001333,bitmex_XBTUSD
1476187200,0.000842,bitmex_XBTUSD
1476216000,4.1e-05,bitmex_XBTUSD
1476244800,0.001375,bitmex_XBTUSD
1476273600,0.001567,bitmex_XBTUSD
1476302400,0.000909,bitmex_XBTUSD
1476331200,5.5e-05,bitmex_XBTUSD
1476360000,-0.001502,bitmex_XBTUSD
1476388800,6.7e-05,bitmex_XBTUSD
1476417600,6.9e-05,bitmex_XBTUSD
1476446400,0.000159,bitmex_XBTUSD
1476475200,0.000433,bitmex_XBTUSD
1476504000,0.000712,bitmex_XBTUSD
1476532800,0.000753,bitmex_XBTUSD
1476561600,0.00172,bitmex_XBTUSD
1476590400,0.00075,bitmex_XBTUSD
1476619200,-0.000564,bitmex_XBTUSD
1476648000,-0.000168,bitmex_XBTUSD
1476676800,5.4e-05,bitmex_XBTUSD
1476705600,0.000467,bitmex_XBTUSD
1476734400,0.000126,bitmex_XBTUSD
1476763200,5.4e-05,bitmex_XBTUSD
1476792000,-0.000844,bitmex_XBTUSD
1476820800,-7.7e-05,bitmex_XBTUSD
1476849600,7.1e-05,bitmex_XBTUSD
1476878400,7.3e-05,bitmex_XBTUSD
1476907200,7.2e-05,bitmex_XBTUSD
1476936000,-0.000582,bitmex_XBTUSD
1476964800,-0.001526,bitmex_XBTUSD
1476993600,-0.0007,bitmex_XBTUSD
1477022400,-1.4e-05,bitmex_XBTUSD
1477051200,7.2e-05,bitmex_XBTUSD
1477080000,7.3e-05,bitmex_XBTUSD
1477108800,3.7e-05,bitmex_XBTUSD
1477137600,7.2e-05,bitmex_XBTUSD
1477166400,7.2e-05,bitmex_XBTUSD
1477195200,0.003251,bitmex_XBTUSD
1477224000,0.00375,bitmex_XBTUSD
1477252800,0.002458,bitmex_XBTUSD
1477281600,0.00375,bitmex_XBTUSD
1477310400,0.00375,bitmex_XBTUSD
1477339200,0.00375,bitmex_XBTUSD
1477368000,0.002356,bitmex_XBTUSD
1477396800,0.001393,bitmex_XBTUSD
1477425600,0.000763,bitmex_XBTUSD
1477454400,0.001436,bitmex_XBTUSD
1477483200,0.001236,bitmex_XBTUSD
1477512000,0.001371,bitmex_XBTUSD
